ssid,bssid,lat,lng,lasttime,country,region,city,house_number,road
gogoinflight,00:0C:E6:0B:83:01,42.06707001,-94.48470306,2018-08-18T19:00:00.000Z,US,IA,,,202nd Street
d177478,00:0C:E6:DD:02:01,33.52256393,-101.79012299,2016-06-01T05:00:00.000Z,US,TX,,,Slaton Road
DALESWIFI,00:24:7B:71:0D:5C,40.47998047,-111.95819855,2017-11-22T20:00:00.000Z,US,UT,Bluffdale,,2700 West
lhm-open,20:3A:07:9F:8B:64,40.5726738,-111.90018463,2016-03-27T19:00:00.000Z,US,UT,Sandy,,I 15
intermountain_guest,40:F4:EC:7E:E8:01,40.77169037,-111.83938599,2017-10-23T13:00:00.000Z,US,UT,Salt Lake City,100,Mario Capecchi Drive
intermountain_guest,64:A0:E7:90:13:51,40.77461624,-111.8579483,2017-10-30T19:00:00.000Z,US,UT,Salt Lake City,,Cypress Avenue
intermountain_guest,6C:9C:ED:87:EA:11,40.77141571,-111.8392334,2016-07-03T17:00:00.000Z,US,UT,Salt Lake City,100,Mario Capecchi Drive
intermountain_guest,6C:9C:ED:87:EA:1E,40.771492,-111.83929443,2016-07-12T19:00:00.000Z,US,UT,Salt Lake City,100,Mario Capecchi Drive
HolidayInn_GUEST,6C:AA:B3:11:D5:98,36.15866089,-86.78357697,2018-05-15T11:00:00.000Z,US,TN,Nashville-Davidson,900,Broadway
HolidayInn_GUEST,84:18:3A:0F:9B:48,36.15797424,-86.78433228,2018-05-25T08:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:0F:9C:A8,36.15882492,-86.78555298,2018-03-30T22:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:0F:B5:BC,36.15838242,-86.78323364,2018-05-15T11:00:00.000Z,US,TN,Nashville-Davidson,,Broadway
HolidayInn_GUEST,84:18:3A:11:57:08,36.1579628,-86.78437042,2018-05-25T08:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:11:5B:AC,36.1583519,-86.78456879,2017-07-11T18:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:11:5B:B8,36.15774155,-86.78580475,2018-04-13T21:00:00.000Z,US,TN,Nashville-Davidson,,Broadway
HolidayInn_GUEST,84:18:3A:11:5B:BC,36.15814972,-86.78451538,2018-05-15T11:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:11:5B:DC,36.15816498,-86.78405762,2018-05-15T11:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:11:64:28,36.15802383,-86.78492737,2018-03-17T14:00:00.000Z,US,TN,Nashville-Davidson,1010,Broadway
HolidayInn_GUEST,84:18:3A:11:68:C8,36.15803909,-86.78444672,2018-05-25T08:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:11:72:18,36.15828705,-86.78375244,2018-05-15T11:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
HolidayInn_GUEST,84:18:3A:11:72:1C,36.15822983,-86.78440094,2018-05-15T11:00:00.000Z,US,TN,Nashville-Davidson,,10th Avenue North
